epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79804,2.50524,5.65323,2.64688,0,0,0,0,2.62667,5.35763,2.61057,0.09403,3e-05,3e-05
2,7.33815,2.19538,4.99158,2.27707,0,0,0,0,2.59759,5.13458,2.62602,0.0870637,6.3713e-05,6.3713e-05
3,10.7888,2.05924,4.69599,2.12644,0.01504,0.16667,0.01455,0.00317,2.17679,5.24889,2.07003,0.080096,9.604e-05,9.604e-05
4,14.3121,1.97286,4.49978,2.00194,0.01766,0.25,0.06222,0.02359,1.99562,4.8347,1.95326,0.073127,0.000126981,0.000126981
5,17.8106,2.00935,4.36584,2.00328,0.02202,0.3125,0.09431,0.0382,1.88535,4.56796,1.97112,0.0661565,0.000156536,0.000156536
6,21.1819,2.09579,4.25891,2.09813,0.00819,0.375,0.09173,0.04691,1.8045,4.33059,2.00218,0.0591847,0.000184705,0.000184705
7,24.6856,1.98911,4.16077,1.96304,0.04486,0.5625,0.16213,0.06738,1.77873,4.24276,2.00416,0.0522115,0.000211488,0.000211488
8,28.1246,1.98393,3.90209,2.00162,0.79703,0.08333,0.15701,0.06821,1.78743,4.02155,2.04177,0.0452369,0.000236885,0.000236885
9,31.5317,1.90817,3.6827,1.93458,0.83006,0.07679,0.16625,0.07199,1.74226,3.89239,2.0099,0.0382609,0.000260896,0.000260896
10,34.9075,1.96861,3.74361,2.03425,0.8315,0.07967,0.15783,0.07658,1.76265,3.75816,2.01845,0.0312835,0.000283521,0.000283521
11,38.3189,1.95829,3.57107,2.08758,0.79814,0.20833,0.24549,0.09853,1.88501,3.40869,2.15138,0.0243048,0.00030476,0.00030476
12,41.7217,1.98269,3.39538,2.0534,0.53255,0.25,0.24295,0.11349,1.97807,3.20485,2.21557,0.0173246,0.000324613,0.000324613
13,45.0718,1.96416,3.36076,2.02382,0.40435,0.25,0.28363,0.12598,2.00065,3.06619,2.23875,0.0103431,0.00034308,0.00034308
14,48.4575,2.02258,3.3489,2.01582,0.40435,0.25,0.28363,0.12598,2.00065,3.06619,2.23875,0.00336016,0.000360161,0.000360161
15,51.7389,2.07307,3.25189,2.07673,0.25401,0.28125,0.31544,0.13315,2.03778,2.99297,2.21541,0.0003614,0.0003614,0.0003614
16,55.0386,1.93234,3.36587,1.95582,0.25183,0.38624,0.34233,0.12879,2.01474,2.9316,2.16373,0.0003515,0.0003515,0.0003515
17,57.8755,2.00964,3.10684,2.02288,0.25143,0.50761,0.33797,0.13781,1.97461,2.88037,2.14338,0.0003416,0.0003416,0.0003416
18,61.2542,1.8372,3.16544,1.89997,0.25378,0.5,0.33114,0.1357,1.8942,2.88561,2.06014,0.0003317,0.0003317,0.0003317
19,64.1406,1.88068,3.00488,2.0452,0.3999,0.36633,0.45129,0.19022,1.85561,2.84297,2.02476,0.0003218,0.0003218,0.0003218
20,67.4863,1.7778,2.89114,1.9035,0.44761,0.375,0.46957,0.19493,1.84368,2.80383,1.98331,0.0003119,0.0003119,0.0003119
21,70.9405,1.88398,2.91037,1.91371,0.42881,0.52854,0.51699,0.21092,1.83846,2.78053,1.96268,0.000302,0.000302,0.000302
22,74.2488,1.76645,2.91333,1.85362,0.42881,0.52854,0.51699,0.21092,1.83846,2.78053,1.96268,0.0002921,0.0002921,0.0002921
23,77.5834,1.9606,3.04097,1.84112,0.51493,0.57343,0.53723,0.22416,1.85507,2.70271,1.94123,0.0002822,0.0002822,0.0002822
24,80.9644,1.87598,2.87696,1.91636,0.47243,0.65543,0.52567,0.21206,1.85104,2.68535,1.93868,0.0002723,0.0002723,0.0002723
25,83.9405,1.98789,2.85407,1.99072,0.45365,0.67049,0.50908,0.20562,1.89169,2.64015,1.94314,0.0002624,0.0002624,0.0002624
26,86.8455,1.94878,2.85958,1.96778,0.45241,0.66744,0.50624,0.2137,1.91851,2.61227,1.93883,0.0002525,0.0002525,0.0002525
27,89.7558,1.8156,2.70018,1.87463,0.43377,0.61877,0.46627,0.1969,1.94905,2.57844,1.9335,0.0002426,0.0002426,0.0002426
28,92.6332,1.87981,2.73257,1.82929,0.43236,0.63671,0.47669,0.20519,1.96047,2.58082,1.95668,0.0002327,0.0002327,0.0002327
1,3.03859,2.50524,5.65323,2.64688,0,0,0,0,2.62667,5.35763,2.61057,0.09403,3e-05,3e-05
2,6.66097,2.19538,4.99158,2.27707,0,0,0,0,2.59759,5.13458,2.62602,0.0870637,6.3713e-05,6.3713e-05
3,10.0721,2.05924,4.69599,2.12644,0.01504,0.16667,0.01455,0.00317,2.17679,5.24889,2.07003,0.080096,9.604e-05,9.604e-05
4,13.5233,1.97286,4.49978,2.00194,0.01766,0.25,0.06222,0.02359,1.99562,4.8347,1.95326,0.073127,0.000126981,0.000126981
5,16.9653,2.00935,4.36584,2.00328,0.02202,0.3125,0.09431,0.0382,1.88535,4.56796,1.97112,0.0661565,0.000156536,0.000156536
6,20.4163,2.09579,4.25891,2.09813,0.00819,0.375,0.09173,0.04691,1.8045,4.33059,2.00218,0.0591847,0.000184705,0.000184705
7,23.7702,1.98911,4.16077,1.96304,0.04486,0.5625,0.16213,0.06738,1.77873,4.24276,2.00416,0.0522115,0.000211488,0.000211488
8,27.6619,1.98393,3.90209,2.00162,0.79703,0.08333,0.15701,0.06821,1.78743,4.02155,2.04177,0.0452369,0.000236885,0.000236885
9,31.0889,1.90817,3.6827,1.93458,0.83006,0.07679,0.16625,0.07199,1.74226,3.89239,2.0099,0.0382609,0.000260896,0.000260896
10,34.5078,1.96861,3.74361,2.03425,0.8315,0.07967,0.15783,0.07658,1.76265,3.75816,2.01845,0.0312835,0.000283521,0.000283521
11,37.9479,1.95829,3.57107,2.08758,0.79814,0.20833,0.24549,0.09853,1.88501,3.40869,2.15138,0.0243048,0.00030476,0.00030476
12,41.4149,1.98269,3.39538,2.0534,0.53255,0.25,0.24295,0.11349,1.97807,3.20485,2.21557,0.0173246,0.000324613,0.000324613
13,44.7727,1.96416,3.36076,2.02382,0.40435,0.25,0.28363,0.12598,2.00065,3.06619,2.23875,0.0103431,0.00034308,0.00034308
14,48.2269,2.02258,3.3489,2.01582,0.40435,0.25,0.28363,0.12598,2.00065,3.06619,2.23875,0.00336016,0.000360161,0.000360161
15,52.0041,2.07307,3.25189,2.07673,0.25401,0.28125,0.31544,0.13315,2.03778,2.99297,2.21541,0.0003614,0.0003614,0.0003614
16,55.4186,1.93234,3.36587,1.95582,0.25183,0.38624,0.34233,0.12879,2.01474,2.9316,2.16373,0.0003515,0.0003515,0.0003515
17,58.5418,2.00964,3.10684,2.02288,0.25143,0.50761,0.33797,0.13781,1.97461,2.88037,2.14338,0.0003416,0.0003416,0.0003416
18,62.0055,1.8372,3.16544,1.89997,0.25378,0.5,0.33114,0.1357,1.8942,2.88561,2.06014,0.0003317,0.0003317,0.0003317
19,64.8962,1.88068,3.00488,2.0452,0.3999,0.36633,0.45129,0.19022,1.85561,2.84297,2.02476,0.0003218,0.0003218,0.0003218
20,68.3608,1.7778,2.89114,1.9035,0.44761,0.375,0.46957,0.19493,1.84368,2.80383,1.98331,0.0003119,0.0003119,0.0003119
21,71.7527,1.88398,2.91037,1.91371,0.42881,0.52854,0.51699,0.21092,1.83846,2.78053,1.96268,0.000302,0.000302,0.000302
22,75.1232,1.76645,2.91333,1.85362,0.42881,0.52854,0.51699,0.21092,1.83846,2.78053,1.96268,0.0002921,0.0002921,0.0002921
23,78.4448,1.9606,3.04097,1.84112,0.51493,0.57343,0.53723,0.22416,1.85507,2.70271,1.94123,0.0002822,0.0002822,0.0002822
24,81.8574,1.87598,2.87696,1.91636,0.47243,0.65543,0.52567,0.21206,1.85104,2.68535,1.93868,0.0002723,0.0002723,0.0002723
25,84.826,1.98789,2.85407,1.99072,0.45365,0.67049,0.50908,0.20562,1.89169,2.64015,1.94314,0.0002624,0.0002624,0.0002624
26,87.8106,1.94878,2.85958,1.96778,0.45241,0.66744,0.50624,0.2137,1.91851,2.61227,1.93883,0.0002525,0.0002525,0.0002525
27,90.8084,1.8156,2.70018,1.87463,0.43377,0.61877,0.46627,0.1969,1.94905,2.57844,1.9335,0.0002426,0.0002426,0.0002426
28,93.9386,1.87981,2.73257,1.82929,0.43236,0.63671,0.47669,0.20519,1.96047,2.58082,1.95668,0.0002327,0.0002327,0.0002327
29,96.9308,1.86052,2.60948,1.90334,0.37278,0.61809,0.45278,0.19597,1.96881,2.54521,1.96619,0.0002228,0.0002228,0.0002228
30,99.8815,1.69636,2.639,1.72424,0.37278,0.61809,0.45278,0.19597,1.96881,2.54521,1.96619,0.0002129,0.0002129,0.0002129
31,102.853,1.82316,2.63822,1.8425,0.34649,0.63159,0.5185,0.22799,1.95964,2.51751,1.95801,0.000203,0.000203,0.000203
32,106.493,1.77572,2.71739,1.73378,0.34167,0.65297,0.51757,0.22572,1.94419,2.49771,1.94561,0.0001931,0.0001931,0.0001931
33,109.385,1.70868,2.71477,1.7891,0.35157,0.66635,0.53361,0.23118,1.92455,2.49945,1.9313,0.0001832,0.0001832,0.0001832
34,112.824,1.88538,2.68443,1.75788,0.35327,0.67506,0.53068,0.24281,1.90966,2.45909,1.92614,0.0001733,0.0001733,0.0001733
35,116.237,1.66563,2.59522,1.7333,0.29472,0.73149,0.56148,0.25299,1.87863,2.40969,1.92843,0.0001634,0.0001634,0.0001634
36,119.621,1.87007,2.54641,1.82039,0.28195,0.70862,0.55953,0.26956,1.832,2.37069,1.90529,0.0001535,0.0001535,0.0001535
37,123.18,1.69361,2.57719,1.69881,0.26346,0.67595,0.57199,0.27828,1.82833,2.32465,1.89684,0.0001436,0.0001436,0.0001436
38,126.563,1.79284,2.5301,1.79606,0.26346,0.67595,0.57199,0.27828,1.82833,2.32465,1.89684,0.0001337,0.0001337,0.0001337
39,129.944,1.82931,2.61761,1.81259,0.38623,0.65359,0.58861,0.29172,1.83453,2.29955,1.89595,0.0001238,0.0001238,0.0001238
40,133.334,1.75019,2.50851,1.6845,0.40627,0.66006,0.61173,0.29935,1.83998,2.30289,1.88834,0.0001139,0.0001139,0.0001139
