epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4716,1.26559,1.42588,1.53501,0.92381,0.80576,0.93504,0.55285,1.42288,1.01091,2.0273,0.0674024,0.000329268,0.000329268
2,183.425,1.28299,1.45266,1.54775,0.81225,0.80544,0.88175,0.49924,1.52077,1.19017,2.15681,0.0343893,0.000649482,0.000649482
3,272.168,1.29666,1.47796,1.56883,0.87433,0.91619,0.9356,0.48615,1.68372,1.00117,2.29222,0.001363,0.000956496,0.000956496
4,355.438,1.30924,1.44065,1.58472,0.86401,0.84814,0.89502,0.53799,1.42675,1.15298,2.03905,0.0009406,0.0009406,0.0009406
5,448.704,1.32255,1.46439,1.59144,0.85153,0.83953,0.87002,0.48908,1.5075,1.1258,2.1072,0.0009208,0.0009208,0.0009208
6,514.087,1.29972,1.45074,1.57404,0.94629,0.91486,0.95206,0.60465,1.29113,1.01016,1.91482,0.000901,0.000901,0.000901
7,1231.14,1.30912,1.43819,1.58151,0.9208,0.91797,0.95115,0.59149,1.37322,0.81119,2.00048,0.0008812,0.0008812,0.0008812
8,1398.79,1.26792,1.4121,1.55592,0.95258,0.95303,0.97973,0.59822,1.35872,0.7373,1.94858,0.0008614,0.0008614,0.0008614
9,1549.17,1.28115,1.3519,1.55261,0.9751,0.97459,0.98575,0.60798,1.34204,0.76461,1.9488,0.0008416,0.0008416,0.0008416
10,1641.1,1.27731,1.35201,1.56026,0.90333,0.91279,0.9767,0.58715,1.4045,0.80574,2.03527,0.0008218,0.0008218,0.0008218
11,1769.21,1.25317,1.28376,1.52907,0.95954,0.949,0.97243,0.6093,1.3898,0.74225,1.98695,0.000802,0.000802,0.000802
12,1859.29,1.25042,1.29204,1.53914,0.96335,0.9413,0.98283,0.61828,1.33717,0.72109,1.93319,0.0007822,0.0007822,0.0007822
13,1948.73,1.24668,1.24754,1.53191,0.95761,0.9834,0.98715,0.59904,1.35476,0.68808,1.98094,0.0007624,0.0007624,0.0007624
14,2038.42,1.24187,1.26886,1.51973,0.96725,0.97408,0.98744,0.62406,1.30535,0.65779,1.9205,0.0007426,0.0007426,0.0007426
15,2134.03,1.22428,1.25294,1.5324,0.94419,0.92971,0.96915,0.61268,1.36347,0.74685,1.97284,0.0007228,0.0007228,0.0007228
16,2230.48,1.21128,1.22106,1.51558,0.96276,0.98122,0.98683,0.62442,1.31821,0.65598,1.93955,0.000703,0.000703,0.000703
17,2333.71,1.23896,1.24801,1.53029,0.97596,0.9762,0.98741,0.64412,1.28409,0.66504,1.90341,0.0006832,0.0006832,0.0006832
18,2424.08,1.2086,1.24474,1.51329,0.96296,0.95396,0.97589,0.60107,1.38524,0.71124,1.9708,0.0006634,0.0006634,0.0006634
19,2510.17,1.18567,1.22187,1.49224,0.9509,0.9492,0.97224,0.62049,1.30804,0.68223,1.90968,0.0006436,0.0006436,0.0006436
20,2598.4,1.21637,1.20491,1.50986,0.96019,0.96285,0.98694,0.63518,1.2881,0.70438,1.90466,0.0006238,0.0006238,0.0006238
