epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3167,1.63012,4.05897,2.04039,0.00856,0.95938,0.15748,0.06236,1.59757,4.40184,2.4457,0.000219622,0.000219622,0.000219622
2,136.892,1.4233,3.22176,1.76292,0.29406,0.52622,0.40516,0.21063,1.41941,3.39165,2.09319,0.000433205,0.000433205,0.000433205
3,205.572,1.42691,2.87895,1.7182,0.25219,0.46823,0.35931,0.18501,1.48559,3.45187,2.15106,0.000637983,0.000637983,0.000637983
4,275.38,1.39914,2.6048,1.67694,0.55005,0.74935,0.64926,0.36588,1.44687,2.62374,2.11699,0.00062738,0.00062738,0.00062738
5,346.437,1.41214,2.39318,1.67501,0.57018,0.7325,0.71053,0.38383,1.50715,2.89025,2.13023,0.000614174,0.000614174,0.000614174
6,416.471,1.35999,2.23628,1.62415,0.72528,0.76296,0.83266,0.47216,1.43183,2.14826,2.07976,0.000600967,0.000600967,0.000600967
7,486.699,1.36128,2.08811,1.62602,0.90196,0.83568,0.93566,0.56549,1.36676,1.67608,2.0086,0.00058776,0.00058776,0.00058776
8,556.711,1.34021,1.9632,1.60919,0.90288,0.8682,0.96354,0.57772,1.38681,1.47065,2.0253,0.000574554,0.000574554,0.000574554
9,631.565,1.34139,1.87174,1.60221,0.86284,0.85904,0.93071,0.56337,1.3009,1.49017,1.93427,0.000561347,0.000561347,0.000561347
10,696.712,1.3166,1.8293,1.59766,0.87935,0.91667,0.96415,0.58275,1.4073,1.37185,2.03896,0.000548141,0.000548141,0.000548141
11,761.324,1.29983,1.65881,1.56706,0.92742,0.92961,0.97176,0.59074,1.34462,1.23388,1.95659,0.000534934,0.000534934,0.000534934
12,823.2,1.28148,1.67179,1.55989,0.92337,0.91329,0.96336,0.60345,1.3059,1.2259,1.9336,0.000521727,0.000521727,0.000521727
13,885.486,1.28784,1.60177,1.56627,0.9522,0.94037,0.9757,0.59768,1.31585,1.10073,1.95233,0.000508521,0.000508521,0.000508521
14,959.234,1.28438,1.57399,1.56298,0.9761,0.96976,0.98939,0.607,1.35219,1.00165,1.96815,0.000495314,0.000495314,0.000495314
15,1032.74,1.26891,1.53246,1.56366,0.9445,0.9463,0.97531,0.60772,1.30316,1.0485,1.92334,0.000482108,0.000482108,0.000482108
16,1103.26,1.25079,1.50978,1.54585,0.94255,0.96178,0.97798,0.60835,1.30891,0.94707,1.92544,0.000468901,0.000468901,0.000468901
17,1172.89,1.26886,1.50623,1.55359,0.93767,0.93217,0.97504,0.60785,1.273,1.03919,1.89642,0.000455694,0.000455694,0.000455694
18,1242.45,1.24102,1.47625,1.53925,0.92773,0.95969,0.98121,0.62091,1.28566,0.91119,1.91593,0.000442488,0.000442488,0.000442488
19,1312.23,1.22922,1.41227,1.52529,0.97891,0.95603,0.992,0.63592,1.26853,0.85489,1.88894,0.000429281,0.000429281,0.000429281
20,1382.04,1.22757,1.39604,1.52147,0.97287,0.9863,0.98786,0.62708,1.27368,0.85464,1.88278,0.000416075,0.000416075,0.000416075
21,1451.55,1.23962,1.37418,1.53347,0.92936,0.97073,0.98725,0.62677,1.27606,0.90442,1.88121,0.000402868,0.000402868,0.000402868
22,1520.94,1.22673,1.36649,1.51383,0.96781,0.97288,0.98069,0.63807,1.27023,0.80799,1.88949,0.000389661,0.000389661,0.000389661
23,1590.5,1.20802,1.31045,1.49844,0.97716,0.97377,0.99166,0.61958,1.28961,0.76943,1.9192,0.000376455,0.000376455,0.000376455
24,1660.27,1.19895,1.29119,1.50114,0.97229,0.97465,0.98792,0.61888,1.29369,0.79207,1.91465,0.000363248,0.000363248,0.000363248
25,1730.49,1.18513,1.26802,1.49359,0.97454,0.99303,0.99262,0.63658,1.27228,0.72555,1.88437,0.000350042,0.000350042,0.000350042
26,1800.39,1.19154,1.29882,1.49261,0.95091,0.974,0.97842,0.60762,1.3401,0.83308,1.93716,0.000336835,0.000336835,0.000336835
27,1870.64,1.15848,1.23384,1.47458,0.94142,0.9654,0.97713,0.62669,1.30202,0.74678,1.91418,0.000323628,0.000323628,0.000323628
28,1940.65,1.1541,1.19651,1.46399,0.96985,0.97696,0.98411,0.62978,1.27101,0.72467,1.8982,0.000310422,0.000310422,0.000310422
29,2015.51,1.1623,1.21705,1.47157,0.96532,0.97633,0.98789,0.6513,1.25839,0.69467,1.88064,0.000297215,0.000297215,0.000297215
30,2136.57,1.15558,1.22093,1.45542,0.98042,0.98721,0.99238,0.6557,1.27078,0.6919,1.88825,0.000284009,0.000284009,0.000284009
31,2231.77,1.14117,1.21194,1.44268,0.98133,0.98246,0.98973,0.64823,1.24887,0.6875,1.86788,0.000270802,0.000270802,0.000270802
32,2304.96,1.14251,1.20105,1.4454,0.97964,0.98628,0.99058,0.65011,1.23858,0.65985,1.86101,0.000257595,0.000257595,0.000257595
33,2379.35,1.11706,1.14877,1.45074,0.96461,0.98606,0.98482,0.62555,1.32729,0.68032,1.94858,0.000244389,0.000244389,0.000244389
34,2455.34,1.10426,1.13011,1.4262,0.97851,0.98476,0.98952,0.6302,1.28665,0.67905,1.90327,0.000231182,0.000231182,0.000231182
35,2530.76,1.11614,1.12804,1.43475,0.97668,0.98041,0.98603,0.64647,1.25936,0.68993,1.85992,0.000217976,0.000217976,0.000217976
36,2603.21,1.10714,1.15016,1.43288,0.98015,0.98208,0.99066,0.644,1.26349,0.64544,1.88432,0.000204769,0.000204769,0.000204769
37,2674.94,1.06442,1.08096,1.40512,0.97357,0.96954,0.98264,0.65749,1.23787,0.67221,1.86977,0.000191562,0.000191562,0.000191562
38,2746.68,1.09169,1.10501,1.41188,0.98633,0.99454,0.99126,0.65421,1.22577,0.64216,1.86606,0.000178356,0.000178356,0.000178356
39,2818.65,1.078,1.07166,1.40809,0.97827,0.98353,0.99067,0.6433,1.26504,0.63547,1.89026,0.000165149,0.000165149,0.000165149
40,2892.12,1.07814,1.07012,1.41072,0.9842,0.98581,0.99316,0.65154,1.25559,0.6462,1.86575,0.000151943,0.000151943,0.000151943
41,2993.11,0.94594,0.6273,1.52964,0.97601,0.99122,0.99376,0.66817,1.21855,0.65302,1.8481,0.000138736,0.000138736,0.000138736
42,3066,0.91344,0.58793,1.49882,0.97704,0.98899,0.99102,0.6769,1.21678,0.61109,1.85595,0.000125529,0.000125529,0.000125529
43,3138.14,0.88876,0.56569,1.47553,0.965,0.97952,0.98535,0.66252,1.24156,0.62956,1.8935,0.000112323,0.000112323,0.000112323
44,3209.91,0.88906,0.5528,1.4743,0.96784,0.98224,0.98728,0.67334,1.23519,0.61693,1.8921,9.91162e-05,9.91162e-05,9.91162e-05
45,3281.11,0.86472,0.55026,1.44166,0.98236,0.98476,0.99157,0.6659,1.2248,0.6047,1.87748,8.59096e-05,8.59096e-05,8.59096e-05
46,3353.37,0.8462,0.53407,1.43249,0.97251,0.979,0.98992,0.66845,1.20971,0.60054,1.86553,7.2703e-05,7.2703e-05,7.2703e-05
47,3425.04,0.83359,0.54107,1.42351,0.97863,0.98917,0.99178,0.67034,1.20833,0.59537,1.87118,5.94964e-05,5.94964e-05,5.94964e-05
48,3496.83,0.79835,0.51723,1.3894,0.98034,0.98131,0.98835,0.66838,1.20829,0.58823,1.89139,4.62898e-05,4.62898e-05,4.62898e-05
49,3569.27,0.81091,0.51097,1.39675,0.98081,0.97836,0.99042,0.66705,1.22216,0.58522,1.89474,3.30832e-05,3.30832e-05,3.30832e-05
50,3641.38,0.80841,0.51164,1.40065,0.98499,0.98006,0.99048,0.66895,1.21721,0.58987,1.88005,1.98766e-05,1.98766e-05,1.98766e-05
