epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.734,1.63012,4.05897,2.04039,0.00856,0.95938,0.15748,0.06236,1.59757,4.40184,2.4457,0.000219622,0.000219622,0.000219622
2,249.665,1.41445,3.22398,1.75227,0.37671,0.50243,0.42121,0.22086,1.48453,3.35274,2.20163,0.000427371,0.000427371,0.000427371
3,352.088,1.41993,2.85031,1.70881,0.34362,0.62271,0.45516,0.24604,1.50899,3.59722,2.18029,0.000620446,0.000620446,0.000620446
4,460.673,1.3983,2.60104,1.66794,0.44165,0.64072,0.54485,0.29365,1.47594,2.93344,2.14041,0.000600967,0.000600967,0.000600967
5,582.136,1.38324,2.40998,1.65795,0.66487,0.80275,0.76864,0.44816,1.47999,2.24364,2.09456,0.000578956,0.000578956,0.000578956
6,1019,1.3523,2.26299,1.61612,0.65623,0.71553,0.79502,0.47297,1.36613,2.20771,1.99424,0.000556945,0.000556945,0.000556945
7,1139.44,1.35444,2.10023,1.62489,0.81464,0.87118,0.92608,0.52841,1.45749,1.6878,2.06561,0.000534934,0.000534934,0.000534934
8,1226.88,1.32533,2.01245,1.60759,0.81501,0.85673,0.93141,0.55345,1.38526,1.61717,2.01059,0.000512923,0.000512923,0.000512923
9,1311.6,1.32752,1.87948,1.59314,0.89466,0.91398,0.95152,0.57033,1.35157,1.42984,1.97137,0.000490912,0.000490912,0.000490912
10,1409.51,1.30635,1.8196,1.58696,0.90197,0.92155,0.94734,0.56219,1.4174,1.4385,2.04029,0.000468901,0.000468901,0.000468901
11,1489.27,1.28168,1.6964,1.55386,0.92303,0.90717,0.96384,0.59377,1.33583,1.28951,1.9415,0.00044689,0.00044689,0.00044689
12,1590.23,1.26908,1.65998,1.54649,0.93369,0.94772,0.98125,0.60627,1.27732,1.2129,1.89656,0.000424879,0.000424879,0.000424879
13,1741.8,1.27228,1.60658,1.55533,0.96286,0.93949,0.98156,0.58556,1.37225,1.15695,1.9837,0.000402868,0.000402868,0.000402868
14,1870.05,1.24643,1.59075,1.53553,0.95049,0.97841,0.9862,0.62477,1.25364,1.06962,1.86935,0.000380857,0.000380857,0.000380857
15,1972.37,1.24465,1.49447,1.54349,0.94124,0.9381,0.97952,0.612,1.30531,1.12872,1.90158,0.000358846,0.000358846,0.000358846
16,2074.61,1.21814,1.48594,1.51926,0.97029,0.95838,0.99006,0.61222,1.31645,0.96873,1.92097,0.000336835,0.000336835,0.000336835
17,2183.06,1.25017,1.50879,1.53327,0.97545,0.98288,0.98397,0.62616,1.24536,0.93483,1.85758,0.000314824,0.000314824,0.000314824
18,2270.91,1.21187,1.44882,1.51391,0.97147,0.97372,0.98716,0.59603,1.37459,0.97554,1.9726,0.000292813,0.000292813,0.000292813
19,2437.14,1.18365,1.37648,1.49021,0.98798,0.98757,0.994,0.64069,1.26613,0.86171,1.89174,0.000270802,0.000270802,0.000270802
20,2520.26,1.17166,1.35968,1.4798,0.98018,0.98456,0.98742,0.64165,1.25298,0.90418,1.86775,0.000248791,0.000248791,0.000248791
21,2630.73,1.07677,0.92459,1.63614,0.97117,0.98092,0.9886,0.64755,1.19862,0.93298,1.82117,0.00022678,0.00022678,0.00022678
22,2710.52,1.04957,0.8427,1.59262,0.9703,0.97378,0.98412,0.63824,1.24705,0.845,1.8722,0.000204769,0.000204769,0.000204769
23,2796.23,1.03859,0.83645,1.58961,0.97506,0.98833,0.99097,0.6536,1.21174,0.83245,1.82475,0.000182758,0.000182758,0.000182758
24,2867.53,1.00504,0.77198,1.55326,0.96609,0.9688,0.98396,0.65792,1.18664,0.83147,1.79714,0.000160747,0.000160747,0.000160747
25,2938.67,0.99133,0.7714,1.5415,0.97104,0.98501,0.9917,0.65024,1.25263,0.7953,1.89635,0.000138736,0.000138736,0.000138736
26,3011.65,0.96033,0.73566,1.52909,0.96288,0.9845,0.98822,0.66547,1.17851,0.80272,1.81779,0.000116725,0.000116725,0.000116725
27,3100.87,0.93004,0.71881,1.49309,0.96993,0.98409,0.99094,0.67097,1.19539,0.76237,1.83025,9.4714e-05,9.4714e-05,9.4714e-05
28,3170.14,0.92416,0.68941,1.4937,0.97408,0.98022,0.9894,0.66609,1.20328,0.74892,1.83951,7.2703e-05,7.2703e-05,7.2703e-05
29,3239.11,0.90348,0.6856,1.46741,0.97423,0.98145,0.99091,0.67461,1.17833,0.74742,1.82213,5.0692e-05,5.0692e-05,5.0692e-05
30,3312.24,0.89565,0.67105,1.47841,0.97456,0.97822,0.99073,0.67089,1.18908,0.74517,1.83074,2.8681e-05,2.8681e-05,2.8681e-05
