epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.94215,0,126.319,0,0,0,0,0,0,169.24,0,7.145e-05,7.145e-05,7.145e-05
2,11.1037,0,121.873,0,0,0,0,0,0,168.834,0,0.000152003,0.000152003,0.000152003
3,15.4378,0,113.919,0,0,0,0,0,0,171.966,0,0.000226897,0.000226897,0.000226897
4,19.5455,0,107.522,0,0,0,0,0,0,168.196,0,0.000296132,0.000296132,0.000296132
5,23.7753,0,102.639,0,0,0,0,0,0,209.701,0,0.000359708,0.000359708,0.000359708
6,27.8509,0,99.4554,0,0,0,0,0,0,165.245,0,0.000417625,0.000417625,0.000417625
7,31.9203,0,97.5523,0,0,0,0,0,0,149.572,0,0.000469884,0.000469884,0.000469884
8,35.9121,0,93.0322,0,0,0,0,0,0,321.608,0,0.000516483,0.000516483,0.000516483
9,39.8964,0,91.75,0,0,0,0,0,0,127.544,0,0.000557424,0.000557424,0.000557424
10,43.8506,0,88.3781,0,0,0,0,0,0,120.532,0,0.000592706,0.000592706,0.000592706
11,47.8727,0,87.1654,0,0,0,0,0,0,110.925,0,0.00062233,0.00062233,0.00062233
12,52.1389,0,85.4428,0,0,0,0,0,0,108.05,0,0.000646294,0.000646294,0.000646294
13,56.3891,0,84.32,0,0,0,0,0,0,107.122,0,0.000664599,0.000664599,0.000664599
14,60.3391,0,82.3483,0,0,0,0,0,0,107.585,0,0.000677246,0.000677246,0.000677246
15,64.2883,0,81.6082,0,0,0,0,0,0,1791.76,0,0.000684234,0.000684234,0.000684234
16,68.2237,0,80.7209,0,0,0,0,0,0,834.98,0,0.000685563,0.000685563,0.000685563
17,72.12,0,79.2365,0,0,0,0,0,0,106.25,0,0.000674488,0.000674488,0.000674488
18,76.0594,0,77.8736,0,0,0,0,0,0,101.169,0,0.000627331,0.000627331,0.000627331
19,79.9615,0,76.6709,0,0,0,0,0,0,100.297,0,0.000580174,0.000580174,0.000580174
20,83.9261,0,76.4286,0,0,0,0,0,0,100.55,0,0.000533017,0.000533017,0.000533017
21,100.257,0,75.4288,0,0,0,0,0,0,99.0942,0,0.00048586,0.00048586,0.00048586
22,104.878,0,74.5765,0,0,0,0,0,0,98.2191,0,0.000438703,0.000438703,0.000438703
23,109.461,0,73.8058,0,0,0,0,0,0,97.8987,0,0.000391546,0.000391546,0.000391546
24,114.175,0,73.119,0,0,0,0,0,0,97.7508,0,0.000344389,0.000344389,0.000344389
25,118.357,0,72.4971,0,0,0,0,0,0,97.6767,0,0.000297232,0.000297232,0.000297232
26,122.455,0,71.9809,0,0,0,0,0,0,97.9839,0,0.000250075,0.000250075,0.000250075
27,128.836,0,71.533,0,0,0,0,0,0,98.2372,0,0.000202918,0.000202918,0.000202918
28,133.427,0,71.3577,0,0,0,0,0,0,98.7566,0,0.000155761,0.000155761,0.000155761
29,137.726,0,70.9256,0,0,0,0,0,0,98.9961,0,0.000108604,0.000108604,0.000108604
30,141.878,0,70.915,0,0,0,0,0,0,99.4425,0,6.1447e-05,6.1447e-05,6.1447e-05
